address,Latitude,Longitude,sqft,year
"2651 Oldmans Creek Rd, ‘Swedesboro, Logan Township, New Jersey",39.7570461,-75.3787453,1181200.0,2017
"22 Hightstown-Cranbury Station Road, Cranbury Township, New Jersey",40.2934552,-74.5047626,992000.0,2017
"742 Courses Landing PointCamey’s Point, New Jersey",39.6849982,-75.4370219,1250000.0,2017
"343 Cranbury Half Acre Rd, Cranbury, East Windsor, New Jersey",40.315404,-74.4996878,953600.0,2021
"1225 Forest Pkwy, West Deptford, New Jersey",39.8287632,-75.2130787,494000.0,2018
"800 Arlington Blvd, Swedesboro, New Jersey",39.7740719,-75.3405499,470100.0,2018
"152 Route 206, Hillsborough, New Jersey",40.5363611,-74.6179877,510500.0,2018
"701 Atrisco Vista Bhd, Albuquerque, New Mexico",35.0780984,-106.8003009,600000.0,2021
"566 Gulf Ave., Staten Island, New York",40.6156012,-74.1889494,855000.0,2018
"1835 US Route 9, Castleton, New York",42.5420359,-73.6806326,1015700.0,2020
"635 Intemational Blvd, Rock Tavern, Montgomery, New York",41.516816,-74.137033,1010900.0,2021
"7211 Morgan Road, Liverpool (Clay), New York",43.1197123,-76.206089,820000.0,2021
"2600 Manitou Road, Gates (Rochester), New York",43.153728,-77.749386,640000.0,2022
"35th Street, Suite 4BSW, Brooklyn, New York",40.6570493,-74.0077171,90000.0,2020
"6500 Davidson Hwy, Concord, North Carolina",35.4427517,-80.6866059,1000000.0,2018
"8000 Tuckaseegee Road, Charlotte, North Carolina",35.24373,-80.9614388,855000.0,2019
"1656 Old Greensboro Road, Kernersville, North Carolina",36.1062022,-80.0227642,1006000.0,2020
"4851 Jones Sausage Road, Garner, North Carolina",35.7160409,-78.588259,640000.0,2020
"12220 Carolina Logistics Drive, Pineville, Charlotte, North Carolina",35.0832014,-80.8922957,1005000.0,2021
"2100 Block of US Hwy 70 Bus W, Smithfield, North Carolina",35.68366428,-78.54084025,629200.0,2022
"10622 Bryton Corporate Center Drive, Huntersville, North Carolina",35.3733002,-80.8240362,233900.0,2021
"3701 40th Ave. N., Fargo, North Dakota",46.94254,-96.8447429,900000.0,2021
"21500 Emery Road, North Randall, Ohio",41.4330134,-81.5313444,855000.0,2018
"1155 Babbitt Road, Euclid (Cuyahoga), Ohio",41.5942758,-81.5079841,650000.0,2019
"11903 National Rd SW, Etna, Ohio",39.9540809,-82.7132616,855000.0,2016
"6050 Gateway Court, Groveport (Obetz), Ohio",39.846186,-82.9309922,1000000.0,2016
"700 Gateway Bhd., Monroe, ‘Ohio",39.4281482,-84.329669,994000.0,2019
"1550 W Main St., West Jefferson, Ohio",39.9429332,-83.3170831,855000.0,2020
"3538 TradePort Court, Building 2, Lockboume, Ohio",39.78337,-82.9457865,514500.0,2019
"27400 Crossroads Parkway, Rossford, Ohio",41.5483663,-83.5813679,700300.0,2020
"2450 Romig Road, Akron, Ohio",41.0494149,-81.5811397,640000.0,2020
"3880 Groveport Road, Obetz, Ohio",39.8881098,-82.9525083,823000.0,2018
"1901 Beggrow St, Franklin, Lockbourne, Ohio",39.8359412,-82.949485,823000.0,2020
"7401 Fremont Pike, Perrysburg, ‘Ohio",41.5178719,-83.536916,190100.0,2021
"Beech Road S of State 161 Interchange, New Albany, Ohio",40.0633914,-82.7546638,700000.0,2022
"8591 Mink St SW, Pataskala, Ohio",39.9671289,-82.7280234,1232100.0,2020
"Dog Leg Road & Old Springfield Road, Union, Dayton, Ohio",39.910425,-84.246018,630000.0,2022
"4040 N. 125th East Ave., Tulsa, Oklahoma",36.2130544,-95.8405573,640000.0,2020
"9201 S Portland Ave., Oklahoma City, Oklahoma",35.3738243,-97.5809298,640000.0,2019
"8991 S Portland Ave., Oklahoma City, Oklahoma",35.3808584,-97.5769052,1100000.0,2021
"15000 N. Lombard Street, ‘Multnomah, Portland, Oregon",45.6332204,-122.7675441,918400.0,2018
"4775 Depot Court SE, Salem, Oregon",44.9025934,-122.9614735,1000000.0,2019
"1250 NW Swigert Way, Troutdale, Oregon",45.5534828,-122.4011715,855000.0,2018
"West of Interstate 5, Woodburn, Oregon",45.1545172,-122.8768162,630000.0,2022
"705 Boulder Drive, Breinigsville, Pennsylvania",40.5583972,-75.6138981,615000.0,2010
"650 Boulder Drive , Breinigsville, Pennsylvania",40.5562976,-75.6218999,483200.0,2011
"1610 Van Buren Road, Easton | (Palmer Township) Penns USA, 18045-7807 | 2455 Boulevard of the Generals, Norristown, Pennsylvania",40.7403275,-75.2774111,1106400.0,2016
"2455 Boulevard of the generals, Pennsilvania",40.124567,-75.3975055,110400.0,2017
"298 1st Avenue, Gouldsboro (Covington Township), Pennsylvania",41.275641,-75.4989161,1250000.0,2017
"21 Roadway Drive, Carlisle, Pennsylvania",40.2268986,-77.114358,558700.0,2010
"500 McCarthy Dr., Lewisberry, Pennsylvania",40.1713932,-76.8371391,705000.0,2010
"675 Allen Rd. , Carlisle, Pennsylvania",40.1752607,-77.2315342,833300.0,2010
"40 Logistics Drive, Cariisle, Pennsylvania",40.1902879,-77.2238099,421200.0,2013
"9645 West Hills Ct, Kutztown, Pennsylvania",40.5848936,-75.7004392,413800.0,2014
"2 Ames Drive, Building #2, Carlisle, Pennsylvania",40.1663469,-77.2416794,700000.0,2015
"250 Enterprise Way, Pittston ‘Township, Pennsylvania",41.3128257,-75.7723962,399500.0,2017
"545 Oak Hill Road, Mountaintop, Pennsylvania",41.132592,-75.8922441,823000.0,2016
"1200 Westport Road, Findlay | Township, Imperial Pennsyivania",40.4502542,-80.3158926,1000000.0,2020
"3563 Mountain Rd, Shartlesvil, | Hamburg, Upper Bem, Pennsyivania",40.5235519,-76.1056572,1008900.0,2020
"1002 Patriot Pkwy, Muhlenberg Township, Reading, Pennsylvania",40.374272,-75.9474126,609000.0,2020
"1310 Beulah Rd, Churchill, Pittsburgh, Pennsylvania",40.4446665,-79.848063,634800.0,2022
"45 Valley View Circle, Jessup, Pennsylvania",41.4583803,-75.5492227,1027700.0,2021
"Hartford Avenue, Johnston, Rhode Island",41.8285497,-71.5159756,820000.0,2023
